name,long_name,name_odessa,unit,domain,strategy,dimension,index
m_cum_fp_Nb_connecti_flow,cumulative total mass of Nb,SOURCE 27:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Nd_connecti_flow,mean mass flowrate of Nd,SOURCE 28:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Nd_connecti_flow,cumulative total mass of Nd,SOURCE 28:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Np_connecti_flow,mean mass flowrate of Np,SOURCE 29:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Np_connecti_flow,cumulative total mass of Np,SOURCE 29:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Pa_connecti_flow,mean mass flowrate of Pa,SOURCE 30:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Pa_connecti_flow,cumulative total mass of Pa,SOURCE 30:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Pd_connecti_flow,mean mass flowrate of Pd,SOURCE 31:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Pd_connecti_flow,cumulative total mass of Pd,SOURCE 31:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Pm_connecti_flow,mean mass flowrate of Pm,SOURCE 32:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Pm_connecti_flow,cumulative total mass of Pm,SOURCE 32:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Pr_connecti_flow,mean mass flowrate of Pr,SOURCE 33:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Pr_connecti_flow,cumulative total mass of Pr,SOURCE 33:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Pu_connecti_flow,mean mass flowrate of Pu,SOURCE 34:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Pu_connecti_flow,cumulative total mass of Pu,SOURCE 34:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Ra_connecti_flow,mean mass flowrate of Ra,SOURCE 35:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Ra_connecti_flow,cumulative total mass of Ra,SOURCE 35:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Rb_connecti_flow,mean mass flowrate of Rb,SOURCE 36:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Rb_connecti_flow,cumulative total mass of Rb,SOURCE 36:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Re_connecti_flow,mean mass flowrate of Re,SOURCE 37:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Re_connecti_flow,cumulative total mass of Re,SOURCE 37:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Rh_connecti_flow,mean mass flowrate of Rh,SOURCE 38:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Rh_connecti_flow,cumulative total mass of Rh,SOURCE 38:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Ru_connecti_flow,mean mass flowrate of Ru,SOURCE 39:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Ru_connecti_flow,cumulative total mass of Ru,SOURCE 39:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Sb_connecti_flow,mean mass flowrate of Sb,SOURCE 40:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Sb_connecti_flow,cumulative total mass of Sb,SOURCE 40:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Se_connecti_flow,mean mass flowrate of Se,SOURCE 41:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Se_connecti_flow,cumulative total mass of Se,SOURCE 41:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Sm_connecti_flow,mean mass flowrate of Sm,SOURCE 42:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Sm_connecti_flow,cumulative total mass of Sm,SOURCE 42:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Sn_connecti_flow,mean mass flowrate of Sn,SOURCE 43:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Sn_connecti_flow,cumulative total mass of Sn,SOURCE 43:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Sr_connecti_flow,mean mass flowrate of Sr,SOURCE 44:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Sr_connecti_flow,cumulative total mass of Sr,SOURCE 44:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Tb_connecti_flow,mean mass flowrate of Tb,SOURCE 45:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Tb_connecti_flow,cumulative total mass of Tb,SOURCE 45:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Tc_connecti_flow,mean mass flowrate of Tc,SOURCE 46:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Tc_connecti_flow,cumulative total mass of Tc,SOURCE 46:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Te_connecti_flow,mean mass flowrate of Te,SOURCE 47:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Te_connecti_flow,cumulative total mass of Te,SOURCE 47:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Th_connecti_flow,mean mass flowrate of Th,SOURCE 48:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Th_connecti_flow,cumulative total mass of Th,SOURCE 48:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Tl_connecti_flow,mean mass flowrate of Tl,SOURCE 49:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Tl_connecti_flow,cumulative total mass of Tl,SOURCE 49:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Tm_connecti_flow,mean mass flowrate of Tm,SOURCE 50:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Tm_connecti_flow,cumulative total mass of Tm,SOURCE 50:FLOW:0,[kg],connection_fp,connection_flow_fp,none
